Time [s],Bend Die Lateral Max Torque [%],Bend Die Rotating Max Torque [%],Bend Die Vertical Max Torque [%],Bend Die Lateral Movement [mm],Bend Die Rotating Angle [°],Bend Die Vertical Movement [mm],Collet Axial Max Torque [%],Collet Rotating Max Torque [%],Collet Axial Movement [mm],Collet Rotating Movement [mm],Mandrel Axial Load [kN],Manrel Axial Movement [mm],Pressure Die Axial Max Torque [%],Pressure Die Lateral Max Torque [%],Pressure Die Left Axial Max Torque [%],Pressure Die Axial Movement [mm],Pressure Die Lateral Movement [mm],Pressure Die Left Axial Movement [mm],Clamp Die Lateral Max Torque [%],Clamp Die Lateral Movement [mm]
29.200000000000000,10.554089546203600,-8.142142295837400,-11.703703880310100,-33.0,53.63679885864260,19.75,-5.7053327560424800,2.738095283508300,-271.7795104980470,209.88040161132800,0.071610580293548,-2907.60009765625,0.0,-4.150000095367430,0.17499999701976800,13.42140007019040,-50.45000076293950,-7.5,39.025001525878900,225.39999389648400
29.25,10.580474853515600,-8.02642822265625,-11.703703880310100,-33.0,53.54679870605470,19.75,-5.793999671936040,2.857142925262450,-271.73541259765600,209.88040161132800,0.0665856642553343,-2907.599853515630,0.0,-4.140500545501710,0.17499999701976800,13.464300155639600,-50.45000076293950,-7.5,39.025001525878900,225.39999389648400
29.3,10.580474853515600,-8.030001640319820,-11.703703880310100,-33.0,53.4635009765625,19.75,-5.513998985290530,2.738095283508300,-271.6935119628910,209.88040161132800,0.0799854403584056,-2907.599853515630,0.0,-4.148499965667730,0.17499999701976800,13.505599975585900,-50.45000076293950,-7.5,39.025001525878900,225.39999389648400
29.35,10.527705192565900,-8.07642936706543,-11.740740776062000,-32.999900817871100,53.38710021972660,19.750200271606400,-5.455999374389650,2.738095283508300,-271.64849853515600,209.88040161132800,0.071610580293548,-2907.600341796880,0.0,-4.146499156951900,0.17499999701976800,13.555500030517600,-50.45000076293950,-7.5,39.0,225.39999389648400
29.400000000000000,10.527705192565900,-8.069286346435550,-11.703703880310100,-33.0,53.31760025024410,19.75,-5.915332794189450,2.738095283508300,-271.61968994140600,209.88040161132800,0.0749605243193107,-2907.60009765625,0.0,-4.144998550415040,0.15000000596046400,13.581600189209000,-50.45000076293950,-7.5,39.0,225.39999389648400
29.450000000000000,10.527705192565900,-8.03357219696045,-11.703703880310100,-33.0,53.255001068115200,19.75,-6.1346659660339400,2.738095283508300,-271.5893859863280,209.88040161132800,0.0682606362680161,-2907.60009765625,0.0,-4.153998851776120,0.17499999701976800,13.610699653625500,-50.45000076293950,-7.5,38.974998474121100,225.39999389648400
29.5,10.554089546203600,-8.023571968078610,-11.703703880310100,-33.0,53.19919967651370,19.75,-5.845999240875240,2.738095283508300,-271.5610046386720,209.88040161132800,0.0732855523064,-2907.599853515630,0.0,-4.1474995613098100,0.17499999701976800,13.637900352478000,-50.45000076293950,-7.5,38.974998474121100,225.39999389648400
29.55,10.580474853515600,-7.975001335144040,-11.703703880310100,-33.0,53.15039825439450,19.749900817871100,-5.648665904998780,2.857142925262450,-271.5361022949220,209.88040161132800,0.071610580293548,-2907.599853515630,0.0,-4.135499000549320,0.17499999701976800,13.662099838256800,-50.45000076293950,-7.5,38.974998474121100,225.39999389648400
29.6,10.580474853515600,-7.933571815490720,-11.703703880310100,-33.0,53.10820007324220,19.75,-5.505998611450200,2.738095283508300,-271.5152893066410,209.88040161132800,0.0749605243193107,-2907.599853515630,0.0,-4.133498668670650,0.17499999701976800,13.68340015411380,-50.45000076293950,-7.5,38.974998474121100,225.39999389648400
29.650000000000000,10.580474853515600,-7.900713920593260,-11.703703880310100,-33.0,53.073299407959000,19.75,-5.345331192016600,2.738095283508300,-271.497802734375,209.88040161132800,0.0749605243193107,-2907.599853515630,0.0,-4.136999130249020,0.17499999701976800,13.701600074768100,-50.45000076293950,-7.5,38.95000076293950,225.39999389648400
